cap,did,lat,lon,serving_rsrp,speed_kmh
1,1,23.88768,90.40076,-82.0,43.0
1,1,23.88757,90.40073,-82.0,44.0
1,1,23.88747,90.4007,-78.0,44.0
1,1,23.88736,90.40066,-74.0,45.0
1,1,23.88725,90.40063,-76.0,45.0
1,1,23.88714,90.40059,-75.0,45.0
1,1,23.88703,90.40056,-72.0,44.0
1,1,23.88693,90.40053,-69.0,44.0
1,1,23.88682,90.4005,-67.0,44.0
1,1,23.88672,90.40046,-67.0,44.0
1,1,23.88661,90.40043,-69.0,45.0
1,1,23.8865,90.4004,-69.0,46.0
1,1,23.88638,90.40038,-69.0,47.0
1,1,23.88627,90.40035,-66.0,47.0
1,1,23.88615,90.40033,-69.0,47.0
1,1,23.88603,90.40031,-68.0,47.0
1,1,23.88592,90.4003,-73.0,47.0
1,1,23.8858,90.40029,-72.0,47.0
1,1,23.88568,90.40029,-72.0,47.0
1,1,23.88556,90.40029,-80.0,46.0
1,1,23.88545,90.4003,-78.0,46.0
1,1,23.88533,90.40031,-82.0,45.0
1,1,23.88522,90.40032,-82.0,43.0
1,1,23.88512,90.40033,-80.0,41.0
1,1,23.88502,90.40034,-78.0,39.0
1,1,23.88492,90.40035,-77.0,39.0
1,1,23.88482,90.40036,-75.0,40.0
1,1,23.88472,90.40037,-75.0,41.0
1,1,23.88461,90.40038,-70.0,42.0
1,1,23.88451,90.40039,-63.0,41.0
1,1,23.88441,90.4004,-60.0,42.0
1,1,23.8843,90.40041,-59.0,42.0
1,1,23.8842,90.40042,-72.0,42.0
1,1,23.88409,90.40043,-69.0,41.0
1,1,23.88399,90.40045,-75.0,40.0
1,1,23.88389,90.40046,-69.0,41.0
1,1,23.88379,90.40047,-73.0,41.0
1,1,23.88369,90.40048,-73.0,39.0
1,1,23.88359,90.40049,-74.0,37.0
1,1,23.8835,90.4005,-72.0,36.0
1,1,23.88341,90.40052,-72.0,36.0
1,1,23.88332,90.40053,-80.0,37.0
1,1,23.88323,90.40054,-83.0,37.0
1,1,23.88313,90.40056,-77.0,38.0
1,1,23.88304,90.40058,-83.0,38.0
1,1,23.88295,90.4006,-79.0,36.0
1,1,23.88286,90.40062,-92.0,35.0
1,1,23.88277,90.40064,-88.0,35.0
1,1,23.88269,90.40066,-87.0,34.0
1,1,23.8826,90.40068,-88.0,34.0
1,1,23.88252,90.4007,-89.0,34.0
1,1,23.88244,90.40072,-91.0,34.0
1,1,23.88235,90.40073,-88.0,34.0
1,1,23.88228,90.40075,-87.0,29.0
1,1,23.88221,90.40077,-90.0,25.0
1,1,23.88216,90.40078,-90.0,21.0
1,1,23.88211,90.40079,-94.0,20.0
1,1,23.88206,90.4008,-91.0,17.0
1,1,23.88198,90.40082,-84.0,16.0
1,1,23.88194,90.40083,-84.0,17.0
1,1,23.88189,90.40084,-89.0,19.0
1,1,23.88184,90.40085,-95.0,21.0
1,1,23.88179,90.40087,-94.0,22.0
1,1,23.88174,90.40089,-102.0,22.0
1,1,23.88168,90.40091,-94.0,23.0
1,1,23.88162,90.40093,-105.0,24.0
1,1,23.88155,90.40095,-100.0,27.0
1,1,23.88148,90.40097,-101.0,28.0
1,1,23.88148,90.40097,-103.0,29.0
1,1,23.8814,90.40099,-101.0,31.0
1,1,23.88133,90.401,-98.0,31.0
1,1,23.88125,90.40103,-94.0,33.0
1,1,23.88108,90.40107,-95.0,33.0
1,1,23.88099,90.40109,-94.0,35.0
1,1,23.88091,90.40111,-93.0,34.0
1,1,23.88083,90.40113,-99.0,34.0
1,1,23.88074,90.40115,-99.0,34.0
1,1,23.88074,90.40115,-99.0,34.0
1,1,23.88057,90.40119,-87.0,35.0
1,1,23.88048,90.4012,-87.0,37.0
1,1,23.88038,90.40121,-84.0,37.0
1,1,23.88029,90.40122,-90.0,38.0
1,1,23.88029,90.40122,-96.0,39.0
1,1,23.88009,90.40124,-97.0,40.0
1,1,23.87999,90.40126,-97.0,39.0
1,1,23.8799,90.40128,-97.0,39.0
1,1,23.8798,90.4013,-98.0,39.0
1,1,23.8797,90.40132,-99.0,40.0
1,1,23.8796,90.401335,-97.5,40.0
1,1,23.8795,90.40135,-96.0,40.0
1,1,23.8794,90.40137,-95.0,40.0
1,1,23.87929,90.40138,-95.0,40.0
