variant,model,horizon_s,fold,seed,n,positive_rate,auprc,auprc_lift,auroc,brier,ece
+ self-excitation,multi-head LGBM,2.0,2,1337,1671,0.10831837223219629,0.6129971640718642,5.659216912508758,0.8511068263561868,0.06962222200803211,0.053053641378714995
+ self-excitation,multi-head LGBM,3.0,2,1337,1661,0.15111378687537627,0.5480533981004039,3.626759738026976,0.8049475855443474,0.1163095367928048,0.09909294452174826
+ self-excitation,multi-head LGBM,5.0,2,1337,1642,0.23142509135200975,0.544907118630629,2.354572338924981,0.77153015263992,0.18206750320100684,0.15028354368050673
+ self-excitation,multi-head LGBM + isotonic,0.5,2,1337,1680,0.033928571428571426,0.3933864285820774,11.594547368734913,0.9243927749132534,0.023032489564894256,0.008525172020446847
+ self-excitation,multi-head LGBM + isotonic,1.0,2,1337,1680,0.05773809523809524,0.7420928694827009,12.852742481762242,0.9322505226276612,0.021182305800344796,0.010953434419985345
+ self-excitation,multi-head LGBM + isotonic,2.0,2,1337,1671,0.10831837223219629,0.5761527225794616,5.319067400167294,0.8446253105417331,0.06400977779513826,0.030924657018861594
+ self-excitation,multi-head LGBM + isotonic,3.0,2,1337,1661,0.15111378687537627,0.5106696631692307,3.3793717550760647,0.8045929756152693,0.09925132252014617,0.05078140313700019
+ self-excitation,multi-head LGBM + isotonic,5.0,2,1337,1642,0.23142509135200975,0.49618573241717157,2.1440446648131464,0.7704020351989324,0.15286655331747034,0.08121591724182248
+ self-excitation,multi-head LGBM + isotonic + monotone,0.5,2,1337,1680,0.033928571428571426,0.4357820396166725,12.844102220280874,0.9304515138740258,0.022706690601459172,0.007448889262471695
+ self-excitation,multi-head LGBM + isotonic + monotone,1.0,2,1337,1680,0.05773809523809524,0.7654747302500244,13.257706668247845,0.9347089891957722,0.021094595992804267,0.013684014450459511
+ self-excitation,multi-head LGBM + isotonic + monotone,2.0,2,1337,1671,0.10831837223219629,0.583205141354699,5.384175642009404,0.8453539248767102,0.06376230321359587,0.03273685277099674
+ self-excitation,multi-head LGBM + isotonic + monotone,3.0,2,1337,1661,0.15111378687537627,0.523014421045975,3.461063559192687,0.8064804611341867,0.09862591306058824,0.050650278284936685
